,Latitude,Longitude,Name,X,Y
66,1.33566276202,103.783399114,KING ALBERT PARK MRT STATION,22444.4896,35316.375
67,1.36017917027,103.885064856,KOVAN MRT STATION,33758.7578,38027.2794
68,1.42508698033,103.762137459,KRANJI MRT STATION,20078.5865,45204.5168
69,1.27225417751,103.802631578,LABRADOR PARK MRT STATION,24584.775,28304.9441
70,1.3442592503,103.720949268,LAKESIDE MRT STATION,15494.5171,36267.162
71,1.30739187936,103.86278461,LAVENDER MRT STATION,31279.2955,32190.2887
72,1.38550657933,103.83574381,LENTOR MRT STATION,28269.8971,40827.7939
73,1.30680002531,103.849646967,LITTLE INDIA MRT STATION,29817.1982,32124.8312
74,1.35161217103,103.864151939,LORONG CHUAN MRT STATION,31431.4055,37079.9444
75,1.32615024251,103.889298596,MACPHERSON MRT STATION,34230.01,34264.5433
76,1.2763111438,103.854604976,MARINA BAY MRT STATION,30369.0069,28753.5319
77,1.27460411039,103.863461786,MARINA SOUTH MRT STATION,31354.7019,28564.7868
78,1.27102703618,103.862447516,MARINA SOUTH PIER MRT STATION,31241.826,28169.2511
79,1.30263014513,103.904961932,MARINE PARADE MRT STATION,35973.2564,31663.8547
80,1.30676267898,103.915232532,MARINE TERRACE MRT STATION,37116.267,32120.8443
81,1.43252114828,103.774074641,MARSILING MRT STATION,21407.0413,46026.5125
82,1.34870726302,103.839423133,MARYMOUNT MRT STATION,28679.3688,36758.7136
83,1.32687671471,103.883247509,MATTAR MRT STATION,33556.5834,34344.8585
84,1.28053158615,103.843847647,MAXWELL MRT STATION,29171.7997,29220.1992
85,1.3714631884,103.836567766,MAYFLOWER MRT STATION,28361.595,39274.9472
86,1.32851795368,103.834688254,MOUNT PLEASANT MRT STATION,28152.4308,34526.2823
87,1.30620190483,103.882528081,MOUNTBATTEN MRT STATION,33476.5634,32058.7418
88,1.30678307773,103.818967004,NAPIER MRT STATION,26402.8027,32122.9559
89,1.31232009956,103.8379853,NEWTON MRT STATION,28519.3616,32735.2072
90,1.29976683527,103.863637018,NICOLL HIGHWAY MRT STATION,31374.1708,31347.1516
91,1.32044079085,103.843825619,NOVENA MRT STATION,29169.3298,33633.1535
92,1.29975987859,103.787457508,ONE-NORTH MRT STATION,22896.0731,31346.4085
93,1.30242224794,103.823868523,ORCHARD BOULEVARD MRT STATION,26948.2945,31640.7552
94,1.30398101334,103.832241452,ORCHARD MRT STATION,27880.1256,31813.1135
95,1.27973970676,103.839513521,OUTRAM PARK MRT STATION,28689.4469,29132.6357
96,1.27621352269,103.791350313,PASIR PANJANG MRT STATION,23329.2647,28742.7658
97,1.37304321199,103.949284605,PASIR RIS MRT STATION,40905.6061,39449.9708
98,1.3172473855,103.892260754,PAYA LEBAR MRT STATION,34559.6917,33280.1182
99,1.3375868822,103.697321513,PIONEER MRT STATION,12864.9592,35529.4973
100,1.33137952462,103.869055665,POTONG PASIR MRT STATION,31977.1677,34842.7289
