,Latitude,Longitude,Name,X,Y
0,1.2968482549,103.852535916,1012,30138.7199,31024.4179
1,1.29770970582,103.853224747,1013,30215.3799,31119.6733
2,1.29698951201,103.853022011,1019,30192.8179,31040.0378
3,1.29667298482,103.854414224,1029,30347.7592,31005.0391
4,1.29820784171,103.855491399,1039,30467.6377,31174.7567
5,1.30075679542,103.856110404,1059,30536.525,31456.6075
6,1.30358577577,103.85650373,1109,30580.2957,31769.422
7,1.30015494398,103.855233229,1112,30438.9038,31390.057
8,1.30117297499,103.85611401,1113,30536.9259,31502.6265
9,1.29960410898,103.855129341,1119,30427.3426,31329.1484
10,1.30393809696,103.858679992,1121,30822.4935,31808.3822
11,1.30350269184,103.858645307,1129,30818.6338,31760.2373
12,1.30033057846,103.857160807,1139,30653.4258,31409.4797
13,1.305518035,103.860544952,1211,31030.0446,31983.0858
14,1.30526598575,103.860720199,1219,31049.5483,31955.2157
15,1.30337552619,103.859630892,1229,30928.3206,31746.1771
16,1.30325000007,103.861083056,1231,31089.9334,31732.2988
17,1.30291236581,103.861618176,1239,31149.4878,31694.9656
18,1.30709164621,103.862196952,1311,31213.895,32157.0897
19,1.30757426691,103.863255961,1319,31331.7523,32210.4568
20,1.30495670196,103.863630285,1329,31373.4145,31921.0204
21,1.30774601699,103.864262747,1339,31443.7979,32229.4494
22,1.30647555597,103.864525278,1341,31473.017,32088.9687
23,1.30568635693,103.865439944,1349,31574.812,32001.7044
24,1.30211332878,103.862955981,1411,31298.3744,31606.6139
25,1.30202000012,103.863263333,1419,31332.58,31596.2945
26,1.30338444368,103.864838889,1421,31507.9232,31747.1698
27,1.30321360877,103.865015848,1429,31527.6174,31728.28
28,1.29919826131,103.858645183,1511,30818.6248,31284.2755
29,1.29907492499,103.858910297,1519,30848.1298,31270.6379
30,1.30088304449,103.860660982,1521,31042.9632,31470.5725
31,1.30041667685,103.860441152,1529,31018.4987,31419.0037
32,1.29886465393,103.857345837,1541,30674.0195,31247.3855
33,1.30069868833,103.858731205,1549,30828.1966,31450.1851
34,1.30168731102,103.857529239,1559,30694.4276,31559.5006
35,1.29529638586,103.855390399,1611,30456.4002,30852.8228
36,1.29428694149,103.855038094,1619,30417.1927,30741.2033
37,1.29695888901,103.856556111,1621,30586.132,31036.655
38,1.29695972177,103.856865277,1629,30620.5395,31036.7474
39,1.29693614563,103.855805555,1631,30502.6018,31034.1394
40,1.29738749984,103.855575833,1639,30477.0353,31084.0476
41,1.28879015164,103.852933181,2029,30182.9388,30133.3947
42,1.29452091282,103.854021555,2049,30304.0605,30767.0737
43,1.28950305574,103.859033889,2051,30861.8952,30212.23
44,1.28996388933,103.856403888,2061,30569.198,30263.1838
45,1.29152694458,103.859206111,2089,30881.0597,30436.0214
46,1.2910166166,103.862557722,2099,31254.0659,30379.596
47,1.28939197643,103.861802928,2101,31170.0658,30199.9507
48,1.29095592335,103.854534195,2111,30361.1161,30372.876
49,1.2918440732,103.855343344,2119,30451.1666,30471.0838
50,1.29576571621,103.859338146,2141,30895.7493,30904.7231
51,1.29560459776,103.85955533,2149,30919.9202,30886.9077
52,1.293177763,103.85784623,2151,30729.7149,30618.5589
53,1.29360811212,103.858406728,2159,30792.093,30666.1453
54,1.29268553514,103.860931562,2161,31073.0862,30564.1344
55,1.29333836773,103.86070849,2169,31048.2595,30636.321
56,1.2906999997,103.860921945,2171,31072.0183,30344.5841
57,1.28947444371,103.850981667,2181,29965.7514,30209.0586
58,1.28559758868,103.853335977,3011,30227.7694,29780.3779
59,1.28424499977,103.853108056,3019,30202.4049,29630.8154
60,1.2825552462,103.849989038,3021,29855.2852,29443.9687
61,1.28207492221,103.850860749,3031,29952.2998,29390.8576
62,1.28179509351,103.848932074,3041,29737.6543,29359.9142
63,1.28097649523,103.851356526,3059,30007.4766,29269.3996
64,1.27992132442,103.849380316,3071,29787.5413,29152.7228
65,1.2778259539,103.848101172,3111,29645.1842,28921.0267
66,1.2780700358,103.849567181,3129,29808.3391,28948.017
67,1.27892124576,103.847762346,3151,29607.4749,29042.1382
68,1.27327487823,103.846644676,3211,29483.0905,28417.7914
69,1.27552218912,103.847944368,3217,29627.7346,28666.2882
70,1.27407888913,103.846873889,3218,29508.5996,28506.6949
71,1.27323500029,103.847316,3219,29557.8036,28413.3823
72,1.27397836962,103.84489563,3222,29288.4349,28495.5789
73,1.27570339552,103.846324682,3223,29447.4763,28686.3241
74,1.2729068918,103.846706692,3239,29489.9926,28377.1014
75,1.27663307243,103.86076808,3331,31054.9112,28789.1356
76,1.2749851638,103.859500162,3339,30913.8038,28606.9169
77,1.27959779996,103.864337684,3341,31452.1758,29116.9644
78,1.27965600582,103.86477808,3349,31501.1882,29123.4011
79,1.27954305608,103.869611944,3361,32039.1585,29110.9188
80,1.27960772074,103.869874477,3369,32068.3762,29118.0695
81,1.28066479325,103.866269555,3371,31667.1759,29234.9497
82,1.2816260128,103.853065137,3381,30197.6306,29341.2213
83,1.2803766036,103.854980068,3391,30410.7479,29203.0698
84,1.27159299848,103.863009005,3411,31304.3147,28231.833
85,1.27127698482,103.862976932,3419,31300.7456,28196.8898
86,1.2669409033,103.859647781,3421,30930.2417,27717.4243
87,1.2850046763,103.860611054,3501,31037.4255,29714.8242
88,1.28315000011,103.860043889,3509,30974.3069,29509.743
89,1.28194779467,103.858970649,3511,30854.8655,29376.8081
90,1.28124499952,103.858848,3519,30841.2164,29299.0965
91,1.27939957439,103.8527877,3529,30166.7559,29095.033
92,1.27753305516,103.8556161,3539,30481.5358,28888.6455
